ID	TAGSEQ
EffexorXR.Post12.Sentence4	O O O O O O O O
EffexorXR.Post12.Sentence5	O O O O O O O O
EffexorXR.Post12.Sentence6	O O O O B-SSI O B-SSI O B-SSI O O O O O O O O O O O O O O O
EffexorXR.Post13.Sentence1	B-AE O B-AE O O O
EffexorXR.Post14.Sentence1	B-AE I-AE I-AE I-AE I-AE O B-AE I-AE O O B-AE I-AE O O O O O O O O O O O O O O O O
EffexorXR.Post14.Sentence2	O O O O O O O O O O O O O O O O O O O O O O O O O O B-SSI O
EffexorXR.Post14.Sentence3	O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post14.Sentence4	O O O O O O O O O O
EffexorXR.Post14.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O B-AE I-AE I-AE O O O
EffexorXR.Post14.Sentence6	O O O O
EffexorXR.Post14.Sentence7	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post14.Sentence8	O O O O O O
EffexorXR.Post14.Sentence9	O O O O O O O O O O O
EffexorXR.Post14.Sentence10	O
EffexorXR.Post14.Sentence11	O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post14.Sentence12	O O O O O O O O O O O O O
EffexorXR.Post15.Sentence1	O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post15.Sentence2	B-AE I-AE I-AE I-AE I-AE I-AE O O O O O O O O O O
EffexorXR.Post15.Sentence3	O O O O O O O O O
EffexorXR.Post15.Sentence4	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post15.Sentence5	O O O O O O O O O O O O O
EffexorXR.Post16.Sentence1	O O O O B-AE O B-AE I-AE O B-AE O B-AE O B-AE O B-AE I-AE I-AE I-AE O
EffexorXR.Post16.Sentence2	O O O O O O O O O O O O O O O O B-AE I-AE O B-AE O B-AE O
EffexorXR.Post16.Sentence3	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post16.Sentence4	O O O O O O O O O O
EffexorXR.Post16.Sentence5	O O O O O O O O
EffexorXR.Post16.Sentence6	B-AE I-AE I-AE I-AE I-AE I-AE O O O O O O
EffexorXR.Post16.Sentence7	O O O O O O O O O O O O O O O
EffexorXR.Post16.Sentence8	O O O O O O O O O O O O
EffexorXR.Post16.Sentence9	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post17.Sentence1	B-AE O B-AE O B-AE I-AE O B-AE I-AE O B-AE I-AE O
EffexorXR.Post17.Sentence2	O O O O O O O
EffexorXR.Post18.Sentence1	B-AE I-AE O B-AE I-AE O B-AE O
EffexorXR.Post18.Sentence2	O O O O O O O O O O
EffexorXR.Post18.Sentence3	O O O O O
EffexorXR.Post18.Sentence4	O O O O O O O O O O O O O O O O O
EffexorXR.Post18.Sentence5	O O O O O O O O O O O O O O O
EffexorXR.Post18.Sentence6	O O O O O O O O O O O O
EffexorXR.Post18.Sentence7	O O O O O O O O O O O O
EffexorXR.Post18.Sentence8	O O O O
EffexorXR.Post18.Sentence9	O O O O
EffexorXR.Post18.Sentence10	O O O O O O O O O O
EffexorXR.Post18.Sentence11	O O O O O O
EffexorXR.Post18.Sentence12	O O O O O O O O O O O O O
EffexorXR.Post18.Sentence13	O O O O O O O O O O O O O O O
EffexorXR.Post18.Sentence14	O O O
EffexorXR.Post18.Sentence15	O O O O O O O O O O O O O O O O O O
EffexorXR.Post18.Sentence16	O O O O O O O
EffexorXR.Post18.Sentence17	O O O O O
EffexorXR.Post19.Sentence1	O O O O O O O O O O
EffexorXR.Post19.Sentence2	O O O O O B-AE I-AE O O B-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post19.Sentence3	O O O O O O O O O O
EffexorXR.Post19.Sentence4	O O O O O O O O O
EffexorXR.Post19.Sentence5	O O O O B-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post19.Sentence6	O O O O O O O O O O O O O
EffexorXR.Post19.Sentence7	O O O O O O O O
EffexorXR.Post19.Sentence8	O O O O O
EffexorXR.Post19.Sentence9	O O O O O O O O O O O
EffexorXR.Post20.Sentence1	O O B-AE I-AE O O O B-AE O B-AE O B-AE O O O O O O O O O O O O O O O O O O O B-AE I-AE O B-AE I-AE O B-AE I-AE O B-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE O O O B-AE O B-AE I-AE O B-AE O O O O O O O O O O
EffexorXR.Post20.Sentence2	O O O O O O O O O
EffexorXR.Post21.Sentence1	B-AE I-AE O B-AE I-AE O B-AE I-AE I-AE O
EffexorXR.Post21.Sentence2	B-AE I-AE I-AE I-AE I-AE O B-AE O B-AE I-AE O O B-AE I-AE O B-AE I-AE O B-AE I-AE I-AE O B-AE I-AE O B-AE O B-AE I-AE I-AE O
EffexorXR.Post21.Sentence3	O O O O O O O O O O O O O O O O
EffexorXR.Post21.Sentence4	O O O O O O O O
EffexorXR.Post21.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post21.Sentence6	O O O O O O O O O B-SSI O O
EffexorXR.Post21.Sentence7	O O O O
EffexorXR.Post22.Sentence1	B-AE I-AE O B-AE O B-AE I-AE O B-AE O B-AE O B-AE I-AE I-AE O B-AE O
EffexorXR.Post22.Sentence2	O O O O O O O O O O O O
EffexorXR.Post22.Sentence3	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post22.Sentence4	O O B-AE I-AE I-AE I-AE O O B-AE I-AE I-AE I-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O O O O O O O O O O O O O O O O O
EffexorXR.Post22.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post22.Sentence6	O O O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence1	O O O O O O B-SSI O
EffexorXR.Post23.Sentence2	O O O O O O O
EffexorXR.Post23.Sentence3	O O O O O O O O O
EffexorXR.Post23.Sentence4	O O O O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence5	O O O O O O O O O O O O O O O O O O B-SSI O
EffexorXR.Post23.Sentence6	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence7	O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence8	O O O O O O O O O O
EffexorXR.Post23.Sentence9	O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence10	O O O O O O O O O O O O O O O O O O
EffexorXR.Post23.Sentence11	O O O O O O O O O O O O O
EffexorXR.Post24.Sentence1	O O O O O O O O O O
EffexorXR.Post24.Sentence2	O O O O O O O
EffexorXR.Post24.Sentence3	O O B-AE I-AE I-AE O
EffexorXR.Post24.Sentence4	O O O O O B-AE I-AE O O B-AE I-AE O O O O O O O O O O B-AE I-AE I-AE O O O O O O O O O O O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post24.Sentence5	O O B-AE I-AE I-AE O O B-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post24.Sentence6	O O O O O O
EffexorXR.Post24.Sentence7	O O O O O O
EffexorXR.Post24.Sentence8	O O O O O O O O O O O O O O O O
EffexorXR.Post25.Sentence1	B-AE I-AE I-AE I-AE O B-AE I-AE O B-AE O O O O O O O O O O O B-AE O B-AE O O O O O B-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post25.Sentence2	O O O O O O O O O O O O O O O
EffexorXR.Post26.Sentence1	B-AE I-AE O O O
EffexorXR.Post26.Sentence2	B-AE I-AE I-AE I-AE O O O O O O B-AE I-AE O
EffexorXR.Post26.Sentence3	B-AE I-AE I-AE O
EffexorXR.Post26.Sentence4	B-AE I-AE O B-AE I-AE O
EffexorXR.Post26.Sentence5	O O O O O O O O
EffexorXR.Post26.Sentence6	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post26.Sentence7	O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post26.Sentence8	O O O O O O O O O O O O O
EffexorXR.Post26.Sentence9	O O O O O O O O B-AE I-AE I-AE O O O B-AE I-AE I-AE I-AE O
EffexorXR.Post26.Sentence10	O O O O O O O O O O O O O O O O O
EffexorXR.Post26.Sentence11	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post26.Sentence12	O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post27.Sentence1	O
EffexorXR.Post27.Sentence2	O O O O O
EffexorXR.Post27.Sentence3	O O O O O O
EffexorXR.Post27.Sentence4	O O O O O O O O O O O O
EffexorXR.Post27.Sentence5	O O O O
EffexorXR.Post27.Sentence6	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post27.Sentence7	O O O O
EffexorXR.Post27.Sentence8	O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post27.Sentence9	O O O O O O O O
EffexorXR.Post28.Sentence1	O O O O O B-AE I-AE O
EffexorXR.Post28.Sentence2	O O B-SSI I-SSI I-SSI O O O O O O O O O
EffexorXR.Post28.Sentence3	O O O O O O O O O O O O O O O O
EffexorXR.Post28.Sentence4	O O O O O O O O B-SSI O O O O O O O O O O B-SSI O O
EffexorXR.Post28.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post28.Sentence6	O O O O B-AE I-AE I-AE O O O O O O O O O O O
EffexorXR.Post28.Sentence7	B-SSI I-SSI B-SSI O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-AE I-AE I-AE I-AE O O O O O O O
EffexorXR.Post28.Sentence8	O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post29.Sentence1	O O O O O O O O O O O O O O O O O B-SSI O B-SSI O
EffexorXR.Post29.Sentence2	O O O O O O O O O O O O B-AE I-AE O O O O O B-AE I-AE I-AE O B-AE I-AE O B-AE I-AE O B-AE O B-AE I-AE O B-AE I-AE I-AE O O B-AE I-AE O O B-AE I-AE I-AE I-AE O O B-AE O B-AE I-AE O O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post29.Sentence3	O O O O O O O O O O
EffexorXR.Post29.Sentence4	O O O O O O O O O
EffexorXR.Post30.Sentence1	B-AE I-AE I-AE I-AE I-AE I-AE O O O O
EffexorXR.Post30.Sentence2	B-AE I-AE I-AE O O O O O B-AE O B-AE O B-AE I-AE I-AE O
EffexorXR.Post30.Sentence3	B-AE I-AE I-AE O B-AE I-AE O B-AE O B-AE I-AE O
EffexorXR.Post30.Sentence4	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post30.Sentence5	O O O O O O O O O O O
EffexorXR.Post31.Sentence1	B-AE I-AE O B-AE I-AE O
EffexorXR.Post31.Sentence2	O O O O O O O O O
EffexorXR.Post31.Sentence3	O O O O O O O O O O O O O O O O O
EffexorXR.Post31.Sentence4	O O O O O
EffexorXR.Post32.Sentence1	B-AE O B-AE O B-AE O B-AE O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post32.Sentence2	O O O
EffexorXR.Post32.Sentence3	O O O O O O O O O O O O O O
EffexorXR.Post32.Sentence4	O O O O O O O O O O O O O O O
EffexorXR.Post33.Sentence1	O O
EffexorXR.Post33.Sentence2	O O O O O B-AE I-AE I-AE O
EffexorXR.Post33.Sentence3	O O O O O O O O B-AE I-AE O B-AE O B-AE O B-AE I-AE I-AE I-AE I-AE O B-AE I-AE O O O O B-AE I-AE I-AE O O
EffexorXR.Post33.Sentence4	O O O O O O O O O O B-AE I-AE I-AE O O O B-AE I-AE O
EffexorXR.Post33.Sentence5	O O O O O O O
EffexorXR.Post33.Sentence6	O O O O O O O O O O
EffexorXR.Post33.Sentence7	O O O O O O
EffexorXR.Post34.Sentence1	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post34.Sentence2	O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post34.Sentence3	O O O O O O O O O O O
EffexorXR.Post35.Sentence1	B-AE O B-AE O B-AE O B-AE O B-AE O B-AE O B-AE O
EffexorXR.Post35.Sentence2	O O O
EffexorXR.Post35.Sentence3	O O O O O O O O O O
EffexorXR.Post36.Sentence1	B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post36.Sentence2	O O O O O O O B-AE O O
EffexorXR.Post36.Sentence3	O O O O O O O O O O O O O O O O O
EffexorXR.Post36.Sentence4	O O O O O O O O O O O O
EffexorXR.Post36.Sentence5	O O O O O O
EffexorXR.Post36.Sentence6	O O O O O O O O
EffexorXR.Post36.Sentence7	B-AE I-AE I-AE O
EffexorXR.Post37.Sentence1	O O O O
EffexorXR.Post37.Sentence2	O O O O O O
EffexorXR.Post37.Sentence3	O O O O O O O O O O O O
EffexorXR.Post38.Sentence1	B-AE I-AE I-AE I-AE O B-AE I-AE O B-AE I-AE O B-AE I-AE O O O B-AE I-AE O B-AE I-AE O B-AE I-AE O B-AE O O O O O O O O O O
EffexorXR.Post38.Sentence2	O O O O O O
EffexorXR.Post38.Sentence3	O O O O O O O O O O O O O O O O O O
EffexorXR.Post38.Sentence4	O O O O O O O O O
EffexorXR.Post38.Sentence5	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post38.Sentence6	O O O O O O O O
EffexorXR.Post38.Sentence7	O O O O O
EffexorXR.Post38.Sentence8	O O O O O O O O O O O O O
EffexorXR.Post38.Sentence9	O O O O O O
EffexorXR.Post38.Sentence10	O O O O O O O O O O O O O
EffexorXR.Post38.Sentence11	O O O O O O O
EffexorXR.Post38.Sentence12	O O O O O O
EffexorXR.Post39.Sentence1	B-AE I-AE O B-AE O B-AE I-AE O O O O O O O
EffexorXR.Post39.Sentence2	O O O
EffexorXR.Post39.Sentence3	O O O O
EffexorXR.Post40.Sentence1	O O O B-AE O
EffexorXR.Post40.Sentence2	O B-AE I-AE O O O O B-AE I-AE I-AE O
EffexorXR.Post40.Sentence3	O O O O O O O O O O O O O O O
EffexorXR.Post40.Sentence4	O O O O O O O O O
EffexorXR.Post41.Sentence1	O O O O O
EffexorXR.Post41.Sentence2	O B-AE I-AE O O O O O O
EffexorXR.Post41.Sentence3	O O O O O
EffexorXR.Post42.Sentence1	B-AE O O B-AE I-AE O B-AE I-AE I-AE O B-AE I-AE I-AE O B-AE I-AE O B-AE I-AE O O O B-AE O O
EffexorXR.Post42.Sentence2	O O O O
EffexorXR.Post42.Sentence3	O O O O O O
EffexorXR.Post42.Sentence4	O O O O O O O O O O O O O O O O O O
EffexorXR.Post42.Sentence5	O B-AE I-AE I-AE I-AE O B-AE O B-AE O B-AE O
EffexorXR.Post42.Sentence6	O O O O O O O O O O O O O
EffexorXR.Post42.Sentence7	B-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post42.Sentence8	O O O O O
EffexorXR.Post42.Sentence9	O O O O B-AE I-AE O O O B-AE O B-AE O
EffexorXR.Post42.Sentence10	O O O O O O O
EffexorXR.Post42.Sentence11	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post42.Sentence12	O O O O O O O O O O O O O O O O O O O O O O O O O B-AE I-AE I-AE I-AE I-AE O O O O O O
EffexorXR.Post42.Sentence13	O O B-AE I-AE I-AE I-AE I-AE I-AE O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post42.Sentence14	O O O O O O O O O O O O O O O O O
EffexorXR.Post42.Sentence15	O O O O O O O O O O O O O O O
EffexorXR.Post43.Sentence1	O O O O O O O O O O O O O O O O O O O O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O O O
EffexorXR.Post43.Sentence2	O O O O B-AE I-AE O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post43.Sentence3	O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post43.Sentence4	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post43.Sentence5	O O O O O B-SSI
EffexorXR.Post44.Sentence1	B-AE I-AE I-AE I-AE O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE O B-AE I-AE I-AE I-AE I-AE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post44.Sentence2	O O O O
EffexorXR.Post44.Sentence3	O O O O O O O O O O O
EffexorXR.Post44.Sentence4	O O O O O O O O
EffexorXR.Post44.Sentence5	O B-SSI O O O O O O O
EffexorXR.Post45.Sentence1	O O O O O O B-AE I-AE I-AE O B-AE I-AE O
EffexorXR.Post45.Sentence2	B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post45.Sentence3	O O O O O O O O O O
EffexorXR.Post45.Sentence4	O O O O O O O O O O O O O O
EffexorXR.Post45.Sentence5	O O O O O O O O O O O O
EffexorXR.Post45.Sentence6	O O O O O O O O O O O O O O O
EffexorXR.Post45.Sentence7	O O O O O O B-SSI O O O
EffexorXR.Post45.Sentence8	O O O O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post46.Sentence1	B-AE I-AE I-AE I-AE O O O O O
EffexorXR.Post46.Sentence2	O O O B-SSI I-SSI I-SSI I-SSI I-SSI O B-AE I-AE I-AE O
EffexorXR.Post46.Sentence3	O B-AE I-AE I-AE O O O O O
EffexorXR.Post46.Sentence4	B-AE I-AE I-AE O O O B-AE I-AE I-AE I-AE O
EffexorXR.Post46.Sentence5	O O O O O O O O O
EffexorXR.Post46.Sentence6	O O O O O O O O O O O O O O
EffexorXR.Post46.Sentence7	O O O O O O
EffexorXR.Post46.Sentence8	O O O O O O O O O O
EffexorXR.Post46.Sentence9	O O O O O O O O O O O O O
EffexorXR.Post46.Sentence10	O O O O O O O O O
EffexorXR.Post46.Sentence11	O O O O O O O O
EffexorXR.Post47.Sentence1	O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence2	O B-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE I-AE O
EffexorXR.Post47.Sentence3	O O O O O O B-AE I-AE I-AE I-AE O
EffexorXR.Post47.Sentence4	O B-SSI O O O O O O
EffexorXR.Post47.Sentence5	O O B-AE I-AE O B-AE I-AE I-AE I-AE O
EffexorXR.Post47.Sentence6	O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence7	O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence8	O O O O O O O O O O O O O
EffexorXR.Post47.Sentence9	O O O O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence10	O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence11	O O O O O O O O
EffexorXR.Post47.Sentence12	O O O O O O O O
EffexorXR.Post47.Sentence13	O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post47.Sentence14	O O O O O O O O
EffexorXR.Post47.Sentence15	O O O O O O O O
EffexorXR.Post47.Sentence16	O O O O O
EffexorXR.Post47.Sentence17	O O O O O O O
EffexorXR.Post47.Sentence18	O O O O O O O O O O O O O
EffexorXR.Post47.Sentence19	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence1	O B-AE O B-AE I-AE I-AE O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence2	O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence3	O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence4	O O O B-SSI I-SSI O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence5	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence6	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence7	O O O O O O O
EffexorXR.Post48.Sentence8	O O O O O O O
EffexorXR.Post48.Sentence9	O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence10	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post48.Sentence11	O O O O O O
EffexorXR.Post49.Sentence1	O O O
EffexorXR.Post49.Sentence2	O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post49.Sentence3	O O O O O O O O O
EffexorXR.Post49.Sentence4	O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post49.Sentence5	O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post49.Sentence6	O O O O O O O O O O O O O O O O O O O O O O O O O
EffexorXR.Post49.Sentence7	O O O O O O O O O O O O O O O O O
EffexorXR.Post49.Sentence8	O O O
EffexorXR.Post50.Sentence1	O O O O O O O O O O O O O O O O
EffexorXR.Post50.Sentence2	O O O O O O O O O O O O O O O
EffexorXR.Post51.Sentence1	B-AE I-AE O B-AE I-AE I-AE O B-AE I-AE I-AE O B-AE I-AE I-AE I-AE O B-AE O B-AE I-AE O B-AE I-AE O B-AE O B-AE I-AE I-AE I-AE O O O O O O O O O
EffexorXR.Post51.Sentence2	O O O O O O O O O O O O O O O O O O
EffexorXR.Post51.Sentence3	O O O O O O O O
EffexorXR.Post51.Sentence4	O O O O O O O O O O O O O O
EffexorXR.Post51.Sentence5	O O O O O O
EffexorXR.Post51.Sentence6	O O O O O O O O O O
EffexorXR.Post51.Sentence7	O O O O O O O O O O O O O O O O O O O
EffexorXR.Post51.Sentence8	O O O O O O O O O O
EffexorXR.Post52.Sentence1	B-AE I-AE O B-AE I-AE O B-AE O B-AE O O O
EffexorXR.Post52.Sentence2	O O O O O O O O O O O O
EffexorXR.Post53.Sentence1	O O O O O O O O O
EffexorXR.Post53.Sentence2	O O O O O O O O O O O O O O O O
