ID	SENTENCE
EffexorXR.Post6.Sentence4	I had prior knowledge to know that this was way to fast so I took 6 weeks to taper and still suffered terribly, it was worse than my original condition and symptoms, be very careful stopping this drug too quickly or it can be PURE HELL!
EffexorXR.Post6.Sentence5	The worst AD withdrawals I have ever experienced and I've tried heaps.
EffexorXR.Post6.Sentence6	In my opinion just don't go there, it's not worth it.
EffexorXR.Post7.Sentence1	sexual side effects , nausea , drowsiness , " brain zaps ", dizziness , weight gain .
EffexorXR.Post7.Sentence2	The drug did what it was supposed to do, but it's the withdrawal symptoms that occur from lessening the dose, or tapering off the medicine.
EffexorXR.Post7.Sentence3	These adverse effects are horrific and make it very difficult to function for a period of at least 2 weeks.
EffexorXR.Post7.Sentence4	While I was taking this drug, I would experience these side effects if I missed ONE dose.
EffexorXR.Post7.Sentence5	By the next morning, I would barely be able to get out of bed, had dizziness, brain zaps, nausea, headaches, excessive sweating/urination that often lead to dehydration, etc.
EffexorXR.Post7.Sentence6	When I tapered off this medication, over a period of 2 months, these effects were 10x worse and lasted for about a week each time I lowered my dose.
EffexorXR.Post8.Sentence1	high blood pressure and high pulse .
EffexorXR.Post8.Sentence2	Though the literature says these are rare side effects, it happens.
EffexorXR.Post8.Sentence3	Before starting Effexor, my BP was 120/80, pulse 75.
EffexorXR.Post8.Sentence4	While on 225 mg Effexor, BP averaged 140/80 and pulse ranged from 85 to 105-resting rate !
EffexorXR.Post8.Sentence5	Lost 7 lbs the 3 months I was on it; must have sped up my metabolism too.
EffexorXR.Post8.Sentence6	These numbers only added to my anxiety .
EffexorXR.Post9.Sentence1	Restlessness , anxiety , persistent thoughts of death and suicide.
EffexorXR.Post9.Sentence2	The withdrawal symptoms were unbearable.
EffexorXR.Post9.Sentence3	This drug should not be given to anyone.
EffexorXR.Post10.Sentence1	suicidal / homicidal hopeless thoughts , irrational broke a tooth grinding them incessantly, erratic menstrual periods , intense dreams that I could not tell from reality and could not wake from.
EffexorXR.Post10.Sentence2	Sleepiness and bouts of sleeplessness extreme lethargy developed diabetes type II high blood pressure and was hospitalized twice when trying to ween off of the drug.
EffexorXR.Post10.Sentence3	No one ever told me even as I was seeing my psych and psychologists weekly, and my physician, that what I was experiencing could be from the drug.
EffexorXR.Post10.Sentence4	They just said I was severely mentally ill and needed hospitalized and more and more medication.
EffexorXR.Post10.Sentence5	At my second involuntary hospitalization I refused all psych meds and miracle of all miracles I FINALLY GOT BETTER.
EffexorXR.Post10.Sentence6	5 months drug free and no more hospitalizations ps both my psychiatrist and my psychologist dropped me during my last hospitalization.
EffexorXR.Post10.Sentence7	Said I was too severely ill for them to help me, NICE!
EffexorXR.Post10.Sentence8	But I've gotten better ever since.
EffexorXR.Post11.Sentence1	If I could go back, I would have never taken this drug.
EffexorXR.Post11.Sentence2	At first it was okay because I didn't feel as anxious as I usually did, Eventually, I began to have hand shakes and once in a while my body feels out of sync .
EffexorXR.Post11.Sentence3	I no have problems with anemia because I am always bleeding,Dr's have not suggested effexor as the culprit, but it is the only medicine I take and it will not go away.
EffexorXR.Post11.Sentence4	I just keep bleeding and Noone knows why.
EffexorXR.Post11.Sentence5	After attempting to wean off of this medicine it feels like you are going to die.
EffexorXR.Post11.Sentence6	It does give you flu like symptoms and they last so long.
EffexorXR.Post11.Sentence7	The worst part is that I began to gain a lot of weight once I went without medicine for two weeks.
EffexorXR.Post11.Sentence8	I am the biggest I have ever been.
EffexorXR.Post11.Sentence9	I will give the weaning another try, but with my job and kids I am scared to.
EffexorXR.Post11.Sentence10	I get so irritable and aggressive when I don't take it.
EffexorXR.Post11.Sentence11	I need to wait for the perfect timing, o
EffexorXR.Post12.Sentence1	vision problems , the more I took it there would be vibration in my eyes , confusion .
EffexorXR.Post12.Sentence2	DO NOT TAKE THIS CRAP IT HAS RUINED MY LIFE, CANNOT DRIVE .
EffexorXR.Post12.Sentence3	FEEL NUMB ALL THE TIME .
EffexorXR.Post12.Sentence4	I NOW TAKE NO MEDICATION EXCEPT FOR SLEEP.
EffexorXR.Post12.Sentence5	HAD A CAT SCAN AND NOTHING SHOWED UP.
EffexorXR.Post12.Sentence6	i USED TO FEEL WORRY , ANXIETY , DEPRESSION , NOW I FEEL NOTHING BUT ANGER TO THE SO CALLED PRO THAT PERSCRIBBED THIS
EffexorXR.Post13.Sentence1	tired , thirsty ,, wasnt helpful
EffexorXR.Post14.Sentence1	Complete loss of sexual function , personality disorder , " brain freeze " (Google for more info); others too numerous to mention (and which I'm trying to forget!).
EffexorXR.Post14.Sentence2	I began The Drug From The Lower Pits Of Hell on the advice of my female OB/GYN who pushed it as something to help me through menopause difficulties.
EffexorXR.Post14.Sentence3	When I told her what it did to me, she insisted it could NOT be the drug, insultingly suggesting it was my imagination.
EffexorXR.Post14.Sentence4	Of course my own research proved her theory patently untrue.
EffexorXR.Post14.Sentence5	I fired her and went back to my previous (male) GP, telling him if he didn't get me off this vile stuff I would hurt myself or someone else.
EffexorXR.Post14.Sentence6	Withdrawal was DANTE'S INFERNO!
EffexorXR.Post14.Sentence7	I suffered a "shredding" of my personality; paranoia to the point of being unable to leave the house; panic attacks; sensory acuteness which made normal life impossible for both me and my poor husband.
EffexorXR.Post14.Sentence8	This went on for 6 months!
EffexorXR.Post14.Sentence9	Do NOT believe the MDs and pharm corp. hype and lies!
EffexorXR.Post14.Sentence10	FLEE!
EffexorXR.Post14.Sentence11	This stuff is responsible for untold suffering, God's grace alone got me through and back from the edge of suicide and total insanity.
EffexorXR.Post14.Sentence12	I am E-Free for over 2 years now and just getting my ful
EffexorXR.Post15.Sentence1	Horrible headaches, brain "swishes" or "zapping" when I was even a few hours late for a dose, constipation, horrible crying spells when going through withdrawal.
EffexorXR.Post15.Sentence2	Wanted to kill myself several times while on this drug, when I hadn't been suicidal before.
EffexorXR.Post15.Sentence3	This drug should really be banned by the FDA.
EffexorXR.Post15.Sentence4	HOW TO QUIT THIS DRUG: Buy an over-the-counter sinus headache medicine for the zaps, and take very high doses of Omega-3s, Also, attempt to take a low dose of a drug such as Zoloft if you are able.
EffexorXR.Post15.Sentence5	Going off the drug sucks, but these things made it a lot better.
EffexorXR.Post16.Sentence1	The side effects were insomnia , night sweats , dizziness , headaches , palpitations and lower right abdominal pain .
EffexorXR.Post16.Sentence2	I am now trying to cut back and on top of all those symptoms I am very itchy , shaky and miserable .
EffexorXR.Post16.Sentence3	I was prescribed 75 mg three in the morning and three at night for a total of 450 mg.
EffexorXR.Post16.Sentence4	Recently found out that is above the FDA recommended dosage.
EffexorXR.Post16.Sentence5	No wonder I suffered so many side effects.
EffexorXR.Post16.Sentence6	Have not slept the whole time I have been on the medication.
EffexorXR.Post16.Sentence7	I am trying to cut the dosage down so I can get off the medication.
EffexorXR.Post16.Sentence8	Make sure you are not prescibed more then you should be taking.
EffexorXR.Post16.Sentence9	I am suffering and should of not trusted the NP who prescribed the pills without first checking it out.
EffexorXR.Post17.Sentence1	Nightmares , Dizziness , Dry Mouth , Suicide thoughts , Hot flushes ,Addictive.
EffexorXR.Post17.Sentence2	I wish i never started taking them
EffexorXR.Post18.Sentence1	weight gain , muscle weakness /soreness, anxiety .
EffexorXR.Post18.Sentence2	I began the medication to help with my healing process.
EffexorXR.Post18.Sentence3	I am a cancer survivor.
EffexorXR.Post18.Sentence4	During the time, my children had both left for new careers and college, hence "empty nest syndrome".
EffexorXR.Post18.Sentence5	Three years later, I wanted wean off the drug with the help of my neurologist.
EffexorXR.Post18.Sentence6	To define best per my daughter, it's like getting off crack coccaine!
EffexorXR.Post18.Sentence7	I screamed at her when the microwave oven blasted the scrambled egg!
EffexorXR.Post18.Sentence8	I don't do that.
EffexorXR.Post18.Sentence9	I would normally laugh.
EffexorXR.Post18.Sentence10	The same day, moments later, I had an anxiety attack.
EffexorXR.Post18.Sentence11	I literally was out of control.
EffexorXR.Post18.Sentence12	My daughter did not leave for work until my husband had returned home.
EffexorXR.Post18.Sentence13	She did not want to leave me alone for fear of me causing myself harm.
EffexorXR.Post18.Sentence14	I felt suicidal.
EffexorXR.Post18.Sentence15	I was shaking, I had tremors, my mind was confused, I had no logic to my scientific mind.
EffexorXR.Post18.Sentence16	This medication does more harm then good.
EffexorXR.Post18.Sentence17	DO NOT TAKE THIS MEDICATION!
EffexorXR.Post19.Sentence1	for the first few weeks it helped me feel better.
EffexorXR.Post19.Sentence2	then I began to have problems sleeping and started crying easily for no reason .
EffexorXR.Post19.Sentence3	I had a very hard time coming off the med.
EffexorXR.Post19.Sentence4	I was only on it for about 5 months.
EffexorXR.Post19.Sentence5	I wasn't hungry, but gained a lot of weight .
EffexorXR.Post19.Sentence6	I know I wasn't as active on the drug as off of it.
EffexorXR.Post19.Sentence7	I would never consider taking an antidepressant again.
EffexorXR.Post19.Sentence8	It was a horrible experience.
EffexorXR.Post19.Sentence9	I was never warned about possible side effects of it either.
EffexorXR.Post20.Sentence1	wight gain, water retention , vivd dreams/ nightmares , crying , shaking , brain tremors or shocks, ( iseriously do not know how to adequtly describe it but it is debilitating), leg twitching , arm twitching , blurred vision , eye strain , think things hapened that really din not !, believe dreams to be true the next day, crying , memory loss , confusion , my husband has no compassion to my withdrawal symptoms.
EffexorXR.Post20.Sentence2	DO NOT TAKE THIS DRUG EVER EVER EVER EVER.
EffexorXR.Post21.Sentence1	Erectile disfunction , delayed orgasm , lack of libido .
EffexorXR.Post21.Sentence2	Feel disconnected from my emotions , apathetic , no creativity or motivation, can't focus , Extremely tired , loss of appetite , slight twitching , agitated , slight abdominal pain .
EffexorXR.Post21.Sentence3	I have never been on any other antidepressant, and my doctor immediately put me on this.
EffexorXR.Post21.Sentence4	Let me tell you, _do your research first_.
EffexorXR.Post21.Sentence5	I didn't know anything about this kind of drug and dove into taking it as prescribed without a second thought, and I regret it, even after 2 days I'm hating it.
EffexorXR.Post21.Sentence6	The side effects alone make my previous bouts of depression seem pleasant.
EffexorXR.Post21.Sentence7	I'd rather have emotions.
EffexorXR.Post22.Sentence1	Weight gain , insomnia , heart pains , dizziness , suicidalness , zero sex drive , numbness .
EffexorXR.Post22.Sentence2	Worst drug i've ever had the misfortune to have prescribed to me.
EffexorXR.Post22.Sentence3	Have been on it for over 6 years now, and have been trying to come off it for the last 6 months, and even with cutting back very gradually on the dose for months, it has caused dreadful side effects, feeling dizzy and like i am going to vomit all the time, feel spaced out, feel absolutely dreadful.
EffexorXR.Post22.Sentence4	Have had absolutely no sex drive whatsoever, am completely dead from the waist down , feel like it has ruined my sex drive for life , as even now i have not had it for 5 days, i still feel nothing whatsoever.
EffexorXR.Post22.Sentence5	This is the worst drug ever, i'm sure i'd be better off if I'd taken cocaine or something, as it has completely ruined my life and made it worse than ever.
EffexorXR.Post22.Sentence6	Avoid at all costs, even if your quack might want to ruin your life with it.
EffexorXR.Post23.Sentence1	Effexor was awesome for relieving my depression !
EffexorXR.Post23.Sentence2	But then came the "Weaning Off" period!
EffexorXR.Post23.Sentence3	OMG, Cold sweats, vomiting, dizziness, brain zaps (with noise).
EffexorXR.Post23.Sentence4	Thank God I was pregnant or I may NEVER have forced myself through to the other side!
EffexorXR.Post23.Sentence5	If a person knew how awful the withdrawal was, they would keep searching for other answers to their depression .
EffexorXR.Post23.Sentence6	I love the suggestion where a person opened their capsuals & removed a certain number of "beads" every day.
EffexorXR.Post23.Sentence7	I basically did the same thing on a day where I had a big commitment to my kids and knew I couldn't miss it.
EffexorXR.Post23.Sentence8	I opened the capsual and removed most of the medication.
EffexorXR.Post23.Sentence9	Put it back together & had relief from my symptoms in a few hours!
EffexorXR.Post23.Sentence10	If this drug is still going to be prescribed, a more appropriate taper method needs to be developed!
EffexorXR.Post23.Sentence11	Shame on the medical community for putting people through this type of misery!
EffexorXR.Post24.Sentence1	Took first dose late yesterday morning after a late breakfast.
EffexorXR.Post24.Sentence2	It knocked me out within 30 min.
EffexorXR.Post24.Sentence3	& I slept 2 hours .
EffexorXR.Post24.Sentence4	After waking up, I had severe nausea & a bad headache , Off & on that evening I was "spacey" and moved very slow , but I knew what was going on, This morning, I did not hear my alarm go off for work , woke up 1 1/2 later, called boss, told her what was going on & was only late 30 min.
EffexorXR.Post24.Sentence5	I am typing this slowly & I barely know what's going on .
EffexorXR.Post24.Sentence6	My boss is checking on me.
EffexorXR.Post24.Sentence7	This is one strange, bad drug.
EffexorXR.Post24.Sentence8	Needless to day, I won't take another one & I hope it wears off soon, o
EffexorXR.Post25.Sentence1	Grind teeth at night , strange dreams , tired , can not miss a single dose or I feel awful, withdrawn , moody , and have begun to see them in my stool .
EffexorXR.Post25.Sentence2	Side effects are way to extreme, E-mail me if you have experianced the same things.
EffexorXR.Post26.Sentence1	Increased suicidality and suicidal ideation.
EffexorXR.Post26.Sentence2	Increased memory of dreams (waking during REM cycle) and thus constant tiredness .
EffexorXR.Post26.Sentence3	Change in personality .
EffexorXR.Post26.Sentence4	increased irritability , increased agressiveness .
EffexorXR.Post26.Sentence5	Withdrawing from this drug has been a nightmare.
EffexorXR.Post26.Sentence6	Forgetting one dose, and I was nautious and disoriented, with numb and tingly skin, brain shivers, crazed appetite (minimal to excessive).
EffexorXR.Post26.Sentence7	When it was decided that the side effects were minimal compared to meclobemide (Arima) and sertraline (Zoloft) my dose was upped to 300mg at the highest.
EffexorXR.Post26.Sentence8	At no point did it do anything to stableise or elevate my mood.
EffexorXR.Post26.Sentence9	At no point was I warned that my personality would change and I would loose my social network .
EffexorXR.Post26.Sentence10	At no point was I informed that it *was* addictive in humans, despite non-human testing showing otherwise.
EffexorXR.Post26.Sentence11	At no point would I have taken this drug if I had known that I would miss vital days of my final year at school, lose the respect of my employer, and loose my friends as a result of withdrawing from it after a very short period.
EffexorXR.Post26.Sentence12	I had never had difficulty withdrawing from other medications previously, and had never found myself addicted to anything, and was suprised to find such a chan
EffexorXR.Post27.Sentence1	continued.
EffexorXR.Post27.Sentence2	Apparently there is a limit!
EffexorXR.Post27.Sentence3	Guess I went on to long.
EffexorXR.Post27.Sentence4	I eventually weaned off by opening capsules and pouring about half out.
EffexorXR.Post27.Sentence5	and reassembling the capsule.
EffexorXR.Post27.Sentence6	It took me about two months to get to the point where I was taking about 10 granuals every three days.
EffexorXR.Post27.Sentence7	then I quit altogether.
EffexorXR.Post27.Sentence8	People are still having problems with this medication even after being off of it for 8 months or more, Please don't take this medication.
EffexorXR.Post27.Sentence9	Getting off this DRUG is a living hell.
EffexorXR.Post28.Sentence1	under statement of the year SEXUAL PROBLEMS !
EffexorXR.Post28.Sentence2	Had a massive marriage breakdown 3 years ago and my illness was untreated until.
EffexorXR.Post28.Sentence3	I put a car in to a tree and the 2nd one in a telegraph pole.
EffexorXR.Post28.Sentence4	2 months ago, started on EFFEXOR XR 75mg depression kept getting worse moved up to 150mg, more stable, dont cry any more.
EffexorXR.Post28.Sentence5	If you are a male and dont care about SEX anymore, ever!, then use Effexor XR ,but for me, my libido has always been excellent, even when been depressed.
EffexorXR.Post28.Sentence6	Until I used this male killing drug , just so you know, because no one really described it.
EffexorXR.Post28.Sentence7	Bipolar depression anxiety 95% erection and 95% orgasm, Heavy drinking night, 75% having an erection and 75% orgasm, Illegal drugs, Speed 85% erection and 10% orgasm, Bipolar depression anxiety 95% erection and 95% orgasm, Effexor XR 65% erection 2% orgasm even when trying for 4 hours plus!
EffexorXR.Post28.Sentence8	Sorry i can't even guess the female libido hit's your taking because your mind and bodies, are way more sensitive
EffexorXR.Post29.Sentence1	I felt as if i am in hell, it was so scary that i 'd rather be depressed and anxious .
EffexorXR.Post29.Sentence2	I felt like as if i am watching my life from outside, unbearable pressure and headaches in the evening, non stop nausea , no appetite , hot flashes and shivering , clamsy hands , tingling on arms and legs, electric shocks , disorientated, loss of concious memory , nigtmares, fatigue , more depressed than ever, no sex drive ,i felt like a zombie in hell .
EffexorXR.Post29.Sentence3	When i quit could not eat for days,nausea feeling sick.
EffexorXR.Post29.Sentence4	Dont ever take it,it is not worth it, o
EffexorXR.Post30.Sentence1	Strange itchy rash on my skin -scared for life now.
EffexorXR.Post30.Sentence2	swelling of legs and ankles, eventually entire body, bloating , constipation , loss of "caring" .
EffexorXR.Post30.Sentence3	no sex drive , insane sweating , dizzyness , heart palpatations .
EffexorXR.Post30.Sentence4	These all occurred gradually as the dose was upp'd and when I complained to the dr's (three) they didnt know what to do and at first denied it was the effexor- eventually weaned me down- and all smptoms disappeared.
EffexorXR.Post30.Sentence5	Cost hundreds of dollars to find out this medicine was CRAP!
EffexorXR.Post31.Sentence1	Weight gain , increased appetite .
EffexorXR.Post31.Sentence2	This pill did absolutely NOTHING at all for me.
EffexorXR.Post31.Sentence3	I started on 75 mg then went up to 150 mg over a period of 6 months.
EffexorXR.Post31.Sentence4	I don't recommend this pill
EffexorXR.Post32.Sentence1	tremors , dizziness , headaches , anger , fits of rage , electrical shocks throughout whole body .
EffexorXR.Post32.Sentence2	DONT TAKE IT!
EffexorXR.Post32.Sentence3	it'll ruin your life,im only 19 and i've been on it for 4 years.
EffexorXR.Post32.Sentence4	im gradually coming off of it now and i never wanna hear about it again.
EffexorXR.Post33.Sentence1	Horrible drug.
EffexorXR.Post33.Sentence2	Then side effects made me feel like hell .
EffexorXR.Post33.Sentence3	I wish I had never started taking it, Terrible fatigue , malaise , asthma , lump in lower intestinal wall , sinus problems , muscles bones and joints so sore I cry.
EffexorXR.Post33.Sentence4	I feel like right side of my brain is numb, neck hurts horribly , and I'm short winded .
EffexorXR.Post33.Sentence5	I pray I come out of this.
EffexorXR.Post33.Sentence6	Hve been off of Effexor three and a half weeks.
EffexorXR.Post33.Sentence7	CARE ABOUT YOURSELF, DON'T TAKE IT!
EffexorXR.Post34.Sentence1	I was on a very low dose, so I'm not sure if the fatigue and brain fog was due to the drug or the depression that proceeded it, HOWEVER, I had experienced TERRIBLE withdrawal when coming off the drug. (These information are findings, just this )
EffexorXR.Post34.Sentence2	I was having painful, debilitating brain zaps, several per second, and though they gradually lessened, they lasted for months after I quit taking the drug.
EffexorXR.Post34.Sentence3	This drug really didn't help either of my problems at all.
EffexorXR.Post35.Sentence1	drowsiness , delirium , constipation , fatigue , weakness , listlessness , insomnia .
EffexorXR.Post35.Sentence2	withdrawal was awful.
EffexorXR.Post35.Sentence3	had brain shocks, psychotic symptoms (heard voices, hypergraphia) cataplexic episodes.
EffexorXR.Post36.Sentence1	Suicidality increased dramatically in the first three weeks .
EffexorXR.Post36.Sentence2	Then additional side effects of "erratic behaviour" Suicide was successful.
EffexorXR.Post36.Sentence3	This drug should not be given to anyone without the doctor notifying family/friends of potential side effects.
EffexorXR.Post36.Sentence4	Close monitoring of patient during initial phase of taking drug is vital.
EffexorXR.Post36.Sentence5	Lives are lost on this drug.
EffexorXR.Post36.Sentence6	Doctors should prescribe this drug with extreme caution.
EffexorXR.Post36.Sentence7	Successful suicides result .
EffexorXR.Post37.Sentence1	The withdrawls are devestating.
EffexorXR.Post37.Sentence2	I can't stop taking this drug!
EffexorXR.Post37.Sentence3	I wish I would have never started taking this horrible, horrible drug.
EffexorXR.Post38.Sentence1	BIG TIME BRAIN ZAPS , DRY MOUTH , WEIGHT GAIN , SUICIDE THOUGHTS , LEG AND ARM TINGLING , HAIR LOSS , CHEST PAINS , GAS , YOU NAME IT I FELT ALMOST ALL SIDE EFFECTS.
EffexorXR.Post38.Sentence2	TOLD DOCTOR I WANT OFF THIS.
EffexorXR.Post38.Sentence3	TOLD ME I NEEDED TO STAY ON BECAUSE MY BODY MUST NEED IT TO FEEL ALL THESE SYMPTONS.
EffexorXR.Post38.Sentence4	WELL NO WAY THIS IS THE DRUG FROM HELL.
EffexorXR.Post38.Sentence5	I AM WEENING MYSELF OFF NOW AND IT IS HELL I HAD TO QUIT MY JOB AND I HOPE TO GET THIS CRAP OUT OF MY SYSTEM, BEWARE!
EffexorXR.Post38.Sentence6	HOPE I GET THROUGH IT WITHOUT COMMITTING SUICIDE.
EffexorXR.Post38.Sentence7	SHOULD BE OFF THE MARKET.
EffexorXR.Post38.Sentence8	I EVEN ASKED MY DOCTOR IF IT WAS ADDICTIVE AND HE SAID NO.
EffexorXR.Post38.Sentence9	WELL THATS A BIG FAT LIE!
EffexorXR.Post38.Sentence10	AND PATIENTS SHOULD BE WARNED OF THE EFFECTS BEFORE GIVING IT TO THEM.
EffexorXR.Post38.Sentence11	I NEVER WOULD HAVE TAKEN THIS .
EffexorXR.Post38.Sentence12	IT HAS RUINED MY LIFE, BEWARE!
EffexorXR.Post39.Sentence1	suicidal thoughts , constipation , dry mouth , lost of short term memory, etc.
EffexorXR.Post39.Sentence2	MUST BE BANNED!
EffexorXR.Post39.Sentence3	BETTER TAKE NATURAL MEDICATIONS
EffexorXR.Post40.Sentence1	It made me crazy .
EffexorXR.Post40.Sentence2	I felt weird on this medicine and wanted to die .
EffexorXR.Post40.Sentence3	I took an overdose of water pills just to see what would happen to me.
EffexorXR.Post40.Sentence4	The pills should be taken off the market, o
EffexorXR.Post41.Sentence1	Did not work at all.
EffexorXR.Post41.Sentence2	Caused psychotic episodes , and had horrible withdrawal symptoms.
EffexorXR.Post41.Sentence3	DO NOT TAKE THIS DRUG!
EffexorXR.Post42.Sentence1	sleeplessness , ' fuzzy thinking ', lack of concentration , lack of memory , unrational behvaviour , extreme anger /agitation, oh ya, sweats too .
EffexorXR.Post42.Sentence2	where do i start?
EffexorXR.Post42.Sentence3	this has been a nightmare .
EffexorXR.Post42.Sentence4	i wish i had been smart enough to do research on effexor BEFORE i went on it .
EffexorXR.Post42.Sentence5	my mood swings were extreme , yelling , cursing , swearing .
EffexorXR.Post42.Sentence6	calling the people i love the most, the worst names i could .
EffexorXR.Post42.Sentence7	throwing things across the room in anger .
EffexorXR.Post42.Sentence8	not good at all .
EffexorXR.Post42.Sentence9	the med made me more anxious than before , agitation , sleeplessness .
EffexorXR.Post42.Sentence10	led to prescriptions for other meds .
EffexorXR.Post42.Sentence11	before i knew it, i was dependent on sleep meds, and was being prescribed tranquilizer type meds too .
EffexorXR.Post42.Sentence12	i suppose if i had not been on the effexor, i would have been clear-headed enough to know not to take anything else, but i couldn't form a coherent thought for the life of me .
EffexorXR.Post42.Sentence13	i was off work for the longest time , finally got back to work and tried to wean off the med , that's when it really hit the fan .
EffexorXR.Post42.Sentence14	in my 43 years previous, i had never had any trouble with violence or extreme anger .
EffexorXR.Post42.Sentence15	but i made up for it in the last year and half on this med
EffexorXR.Post43.Sentence1	Weight gain ( 20 pounds in 6 months )adverse sexual side effect, loopy when trying to come off of it, threw up many times a week within an hour of taking med.
EffexorXR.Post43.Sentence2	not good due to weight gain , when coming off of it you feel OUT OF IT- sometimes I am even scared to drive a car because I feel so off.
EffexorXR.Post43.Sentence3	I am now on Wellbutrin ( awesome ) but I am still on effexor and have decreased my dose which makes you feel outside of yourself.
EffexorXR.Post43.Sentence4	I did not take any of the effexor yesterday as I hope to just take Wellbutrin but I am even having trouble typing these comments because I did not have a dose of effexor in the past 24 hours.
EffexorXR.Post43.Sentence5	Not a good suggestion for depression.
EffexorXR.Post44.Sentence1	tired all the time , no sex drive , unable to reach orgasm , didn't care about a thing , And, if you think the side effects are hell, just wait until you try and go off it, OMG, the nightmares, the insane DIZZINESS, the brain "SHOCKS" .
EffexorXR.Post44.Sentence2	I wanted to die.
EffexorXR.Post44.Sentence3	Took me over a month to get rid of the withdrawal.
EffexorXR.Post44.Sentence4	I WOULD NEVER TAKE THIS EVIL DRUG AGAIN.
EffexorXR.Post44.Sentence5	The depression wasn't as bad as the drug !
EffexorXR.Post45.Sentence1	the drug caused me to have no sex drive and no emotion s.
EffexorXR.Post45.Sentence2	When I should have been crying, I had no desire .
EffexorXR.Post45.Sentence3	The side effects of coming off this drug are hell.
EffexorXR.Post45.Sentence4	Obviously I see this is a very addictive drug as far as withdrawl symptoms.
EffexorXR.Post45.Sentence5	Even tapering the drug, I have had SEVERE dizzines and SEVERE nausea.
EffexorXR.Post45.Sentence6	No one can prepare you the side effects when you decide to stop taking it.
EffexorXR.Post45.Sentence7	The Effexor did work for my depression while taking Lamictal.
EffexorXR.Post45.Sentence8	I felt great, but needed to try another anti-depressent to help with my sex drive .
EffexorXR.Post46.Sentence1	loss of sex drive and ablity,dont care about anything.
EffexorXR.Post46.Sentence2	i went from freaking out about every thing to couldn't care less .
EffexorXR.Post46.Sentence3	i gained some weight but nothin to rave about.
EffexorXR.Post46.Sentence4	loss of friends and made my relationship with family hard .
EffexorXR.Post46.Sentence5	THE WITH DRAWS OF THE MED IS SO INTENCE.
EffexorXR.Post46.Sentence6	I WANT TO ANY ONE TO PLEASE DO NO TAKE THIS VERY ADDICTING MED.
EffexorXR.Post46.Sentence7	I AM STILL TRYING KICK IT.
EffexorXR.Post46.Sentence8	I STARTED TO OPEN THE CAPSEL AND EMPTY OUT HALF.
EffexorXR.Post46.Sentence9	BUT OH MY GOD , THE HEAD ACHES .SENCEITIVITY TO LIGHT AND MOVEMENT.
EffexorXR.Post46.Sentence10	I MOVE TO FAST AND I WANT TO HUREL.
EffexorXR.Post46.Sentence11	PLEASE I MEAN PLEASE BEWARE OF THIS MED.
