ID	TAG	ENTITYSTR
EffexorXR.Post22.Sentence1	AE	heart pains
EffexorXR.Post22.Sentence1	AE	dizziness
EffexorXR.Post22.Sentence1	AE	suicidalness
EffexorXR.Post22.Sentence1	AE	zero sex drive
EffexorXR.Post22.Sentence1	AE	numbness
EffexorXR.Post22.Sentence4	AE	absolutely no sex drive
EffexorXR.Post22.Sentence4	AE	completely dead from the waist down
EffexorXR.Post22.Sentence4	AE	feel like it has ruined my sex drive for life
EffexorXR.Post23.Sentence1	SSI	depression
EffexorXR.Post23.Sentence5	SSI	depression
EffexorXR.Post24.Sentence3	AE	slept 2 hours
EffexorXR.Post24.Sentence4	AE	severe nausea
EffexorXR.Post24.Sentence4	AE	bad headache
EffexorXR.Post24.Sentence4	AE	moved very slow
EffexorXR.Post24.Sentence4	AE	did not hear my alarm go off for work
EffexorXR.Post24.Sentence5	AE	typing this slowly
EffexorXR.Post24.Sentence5	AE	barely know what's going on
EffexorXR.Post25.Sentence1	AE	Grind teeth at night
EffexorXR.Post25.Sentence1	AE	strange dreams
EffexorXR.Post25.Sentence1	AE	tired
EffexorXR.Post25.Sentence1	AE	withdrawn
EffexorXR.Post25.Sentence1	AE	moody
EffexorXR.Post25.Sentence1	AE	see them in my stool
EffexorXR.Post26.Sentence1	AE	Increased suicidality
EffexorXR.Post26.Sentence2	AE	Increased memory of dreams
EffexorXR.Post26.Sentence2	AE	constant tiredness
EffexorXR.Post26.Sentence3	AE	Change in personality
EffexorXR.Post26.Sentence4	AE	increased irritability
EffexorXR.Post26.Sentence4	AE	increased agressiveness
EffexorXR.Post26.Sentence9	AE	personality would change
EffexorXR.Post26.Sentence9	AE	loose my social network
EffexorXR.Post28.Sentence1	AE	SEXUAL PROBLEMS
EffexorXR.Post28.Sentence2	SSI	massive marriage breakdown 
EffexorXR.Post28.Sentence4	SSI	depression
EffexorXR.Post28.Sentence4	SSI	cry
EffexorXR.Post28.Sentence6	AE	male killing drug
EffexorXR.Post28.Sentence7	AE	65% erection 2% orgasm
EffexorXR.Post28.Sentence7	SSI	Bipolar depression
EffexorXR.Post28.Sentence7	SSI	anxiety
EffexorXR.Post29.Sentence1	SSI	depressed
EffexorXR.Post29.Sentence1	SSI	anxious
EffexorXR.Post29.Sentence2	AE	unbearable pressure
EffexorXR.Post29.Sentence2	AE	non stop nausea
EffexorXR.Post29.Sentence2	AE	no appetite
EffexorXR.Post29.Sentence2	AE	hot flashes
EffexorXR.Post29.Sentence2	AE	shivering
EffexorXR.Post29.Sentence2	AE	clamsy hands
EffexorXR.Post29.Sentence2	AE	tingling on arms
EffexorXR.Post29.Sentence2	AE	electric shocks
EffexorXR.Post29.Sentence2	AE	loss of concious memory
EffexorXR.Post29.Sentence2	AE	fatigue
EffexorXR.Post29.Sentence2	AE	more depressed
EffexorXR.Post29.Sentence2	AE	no sex drive
EffexorXR.Post29.Sentence2	AE	felt like a zombie in hell
EffexorXR.Post30.Sentence1	AE	Strange itchy rash on my skin
EffexorXR.Post30.Sentence2	AE	swelling of legs
EffexorXR.Post30.Sentence2	AE	bloating
EffexorXR.Post30.Sentence2	AE	constipation
EffexorXR.Post30.Sentence2	AE	loss of "caring"
EffexorXR.Post30.Sentence3	AE	no sex drive
EffexorXR.Post30.Sentence3	AE	insane sweating
EffexorXR.Post30.Sentence3	AE	dizzyness
EffexorXR.Post30.Sentence3	AE	heart palpatations
EffexorXR.Post31.Sentence1	AE	Weight gain
EffexorXR.Post31.Sentence1	AE	increased appetite
EffexorXR.Post32.Sentence1	AE	tremors
EffexorXR.Post32.Sentence1	AE	dizziness
EffexorXR.Post32.Sentence1	AE	headaches
EffexorXR.Post32.Sentence1	AE	anger
EffexorXR.Post32.Sentence1	AE	fits of rage
EffexorXR.Post32.Sentence1	AE	electrical shocks throughout whole body
EffexorXR.Post33.Sentence2	AE	 feel like hell
EffexorXR.Post33.Sentence3	AE	Terrible fatigue
EffexorXR.Post33.Sentence3	AE	malaise
EffexorXR.Post33.Sentence3	AE	asthma
EffexorXR.Post33.Sentence3	AE	lump in lower intestinal wall
EffexorXR.Post33.Sentence3	AE	sinus problems
EffexorXR.Post33.Sentence3	AE	joints so sore 
EffexorXR.Post33.Sentence4	AE	neck hurts horribly
EffexorXR.Post33.Sentence4	AE	short winded
EffexorXR.Post35.Sentence1	AE	drowsiness
EffexorXR.Post35.Sentence1	AE	delirium
EffexorXR.Post35.Sentence1	AE	constipation
EffexorXR.Post35.Sentence1	AE	fatigue
EffexorXR.Post35.Sentence1	AE	weakness
EffexorXR.Post35.Sentence1	AE	listlessness
EffexorXR.Post35.Sentence1	AE	insomnia
EffexorXR.Post36.Sentence1	AE	Suicidality increased dramatically in the first three weeks
EffexorXR.Post36.Sentence2	AE	Suicide
EffexorXR.Post36.Sentence7	AE	Successful suicides result
EffexorXR.Post38.Sentence1	AE	BIG TIME BRAIN ZAPS
EffexorXR.Post38.Sentence1	AE	DRY MOUTH
EffexorXR.Post38.Sentence1	AE	WEIGHT GAIN
EffexorXR.Post38.Sentence1	AE	SUICIDE THOUGHTS
EffexorXR.Post38.Sentence1	AE	ARM TINGLING
EffexorXR.Post38.Sentence1	AE	HAIR LOSS
EffexorXR.Post38.Sentence1	AE	CHEST PAINS
EffexorXR.Post38.Sentence1	AE	GAS
EffexorXR.Post39.Sentence1	AE	suicidal thoughts
EffexorXR.Post39.Sentence1	AE	constipation
EffexorXR.Post39.Sentence1	AE	dry mouth
EffexorXR.Post40.Sentence1	AE	crazy
EffexorXR.Post40.Sentence2	AE	felt weird
EffexorXR.Post40.Sentence2	AE	wanted to die
EffexorXR.Post41.Sentence2	AE	psychotic episodes
EffexorXR.Post42.Sentence1	AE	sleeplessness
EffexorXR.Post42.Sentence1	AE	fuzzy thinking
EffexorXR.Post42.Sentence1	AE	lack of concentration
EffexorXR.Post42.Sentence1	AE	lack of memory
EffexorXR.Post42.Sentence1	AE	unrational behvaviour
EffexorXR.Post42.Sentence1	AE	extreme anger
EffexorXR.Post42.Sentence1	AE	sweats
EffexorXR.Post42.Sentence5	AE	mood swings were extreme
EffexorXR.Post42.Sentence5	AE	yelling
EffexorXR.Post42.Sentence5	AE	cursing
EffexorXR.Post42.Sentence5	AE	swearing
EffexorXR.Post42.Sentence7	AE	throwing things across the room in anger
EffexorXR.Post42.Sentence9	AE	more anxious
EffexorXR.Post42.Sentence9	AE	agitation
EffexorXR.Post42.Sentence9	AE	sleeplessness
EffexorXR.Post42.Sentence12	AE	couldn't form a coherent thought
EffexorXR.Post42.Sentence13	AE	off work for the longest time
EffexorXR.Post43.Sentence1	AE	threw up many times a week within an hour
EffexorXR.Post43.Sentence2	AE	weight gain
EffexorXR.Post43.Sentence5	SSI	depression.
EffexorXR.Post44.Sentence1	AE	tired all the time
EffexorXR.Post44.Sentence1	AE	no sex drive
EffexorXR.Post44.Sentence1	AE	unable to reach orgasm
EffexorXR.Post44.Sentence1	AE	didn't care about a thing
EffexorXR.Post44.Sentence5	SSI	depression
EffexorXR.Post45.Sentence1	AE	no sex drive
EffexorXR.Post45.Sentence1	AE	no emotion
EffexorXR.Post45.Sentence2	AE	When I should have been crying, I had no desire
EffexorXR.Post45.Sentence7	SSI	depression
EffexorXR.Post45.Sentence8	AE	needed to try another anti-depressent to help with my sex drive
EffexorXR.Post46.Sentence1	AE	loss of sex drive
EffexorXR.Post46.Sentence2	AE	couldn't care less
EffexorXR.Post46.Sentence2	SSI	freaking out about every thing 
EffexorXR.Post46.Sentence3	AE	gained some weight
EffexorXR.Post46.Sentence4	AE	loss of friends
EffexorXR.Post46.Sentence4	AE	relationship with family hard
EffexorXR.Post47.Sentence2	AE	shocks radiated from my forehead, to my teeth, and then the rest of the way down my body
EffexorXR.Post47.Sentence3	AE	involuntarily turn my head
EffexorXR.Post47.Sentence4	SSI	depression
EffexorXR.Post47.Sentence5	AE	weight gain
EffexorXR.Post47.Sentence5	AE	loss of sex drive
EffexorXR.Post48.Sentence1	AE	fatigue
EffexorXR.Post48.Sentence1	AE	sexual side effects
EffexorXR.Post48.Sentence4	SSI	mildly depressed
EffexorXR.Post51.Sentence1	AE	extreme fatigue
EffexorXR.Post51.Sentence1	AE	lack of motivation
EffexorXR.Post51.Sentence1	AE	wanting to sleep
EffexorXR.Post51.Sentence1	AE	rest all the time
EffexorXR.Post51.Sentence1	AE	sweating
EffexorXR.Post51.Sentence1	AE	 hot flashes
EffexorXR.Post51.Sentence1	AE	weight gain
EffexorXR.Post51.Sentence1	AE	headaches
EffexorXR.Post51.Sentence1	AE	short term memory lapses
EffexorXR.Post52.Sentence1	AE	severe constipation
EffexorXR.Post52.Sentence1	AE	weight gain
EffexorXR.Post52.Sentence1	AE	nightmares
EffexorXR.Post52.Sentence1	AE	hypothyroidism
EffexorXR.Post53.Sentence3	AE	cover up your feelings
EffexorXR.Post53.Sentence4	AE	Crying
EffexorXR.Post53.Sentence4	AE	brain zaps
EffexorXR.Post53.Sentence4	AE	nausea
EffexorXR.Post53.Sentence4	AE	vomiting
EffexorXR.Post53.Sentence5	AE	no sex drive
EffexorXR.Post53.Sentence5	AE	weight gain
EffexorXR.Post54.Sentence1	AE	anxiety
EffexorXR.Post55.Sentence1	AE	Felt like on an LSD
EffexorXR.Post55.Sentence2	AE	even more suicidal
EffexorXR.Post56.Sentence1	AE	Inability to gain an erection 
EffexorXR.Post56.Sentence2	AE	twitches that felt like bodily electricity
EffexorXR.Post56.Sentence4	AE	social anxiety
EffexorXR.Post56.Sentence6	AE	as if vague, kind of abstracted strings were pulling me and everyone else around me in accordance with eachother
EffexorXR.Post57.Sentence1	AE	was a ZOMBIE
EffexorXR.Post58.Sentence2	AE	Totally numb
EffexorXR.Post58.Sentence2	AE	couldn't summon any feelings
EffexorXR.Post58.Sentence3	AE	Put on a huge amount of weight
EffexorXR.Post58.Sentence3	AE	Constantly constipated
EffexorXR.Post58.Sentence3	AE	Not motivation
EffexorXR.Post58.Sentence4	AE	couldn't get out of bed
EffexorXR.Post58.Sentence5	AE	Panic attacks
EffexorXR.Post59.Sentence1	AE	Horrible insomnia
EffexorXR.Post59.Sentence1	AE	shakes
EffexorXR.Post59.Sentence1	AE	brain shivers
EffexorXR.Post59.Sentence1	AE	couldn't sit still
EffexorXR.Post59.Sentence2	AE	lost over 50 lbs 
EffexorXR.Post59.Sentence2	AE	lack of eating
EffexorXR.Post59.Sentence2	AE	throwing up
EffexorXR.Post59.Sentence3	AE	blood pressure skyrocketed
EffexorXR.Post59.Sentence4	AE	had to stop working
EffexorXR.Post59.Sentence4	AE	couldn't stare at a computer screen or focus my eyes without becoming violently nauseous
EffexorXR.Post59.Sentence4	AE	Horrible vertigo
EffexorXR.Post59.Sentence5	AE	always in a bad hash high
EffexorXR.Post59.Sentence5	AE	disconnected from my body
EffexorXR.Post59.Sentence6	AE	S/I
EffexorXR.Post60.Sentence1	AE	always tired
EffexorXR.Post60.Sentence1	AE	cannot sleep at night
EffexorXR.Post60.Sentence1	AE	wake up every hour
EffexorXR.Post60.Sentence2	AE	have to take sleeping pills
EffexorXR.Post60.Sentence3	AE	no desire to have sex
EffexorXR.Post60.Sentence3	AE	hurts to have sex
EffexorXR.Post60.Sentence4	AE	nausea in the morning
EffexorXR.Post60.Sentence4	AE	hot all the time all day long
EffexorXR.Post60.Sentence4	AE	long very detailed dream
EffexorXR.Post60.Sentence4	AE	shortness of breath
EffexorXR.Post60.Sentence4	AE	fatigue
EffexorXR.Post60.Sentence4	AE	some night sweats
EffexorXR.Post60.Sentence4	AE	not feeling happy or sad
EffexorXR.Post60.Sentence4	AE	just dont care
EffexorXR.Post60.Sentence4	AE	mood swings
EffexorXR.Post61.Sentence1	AE	hair has fallen out at the front
EffexorXR.Post61.Sentence1	AE	huge bald patch
EffexorXR.Post61.Sentence1	SSI	depression
EffexorXR.Post61.Sentence3	AE	Alopecia
EffexorXR.Post62.Sentence1	AE	Hypertension
EffexorXR.Post62.Sentence2	AE	Extreme anxiety attacks lasting for 3 full days and nights 
EffexorXR.Post62.Sentence4	AE	anxiety attacks
EffexorXR.Post62.Sentence4	AE	extremely agitated
EffexorXR.Post62.Sentence4	AE	permanent state of anxiety
EffexorXR.Post62.Sentence5	AE	shakes
EffexorXR.Post62.Sentence5	AE	very panicky
EffexorXR.Post62.Sentence5	AE	extremely agitated
EffexorXR.Post62.Sentence5	AE	nervous
EffexorXR.Post62.Sentence6	AE	anxiety just didn't stop
EffexorXR.Post62.Sentence7	AE	anxiousness
EffexorXR.Post62.Sentence7	AE	feeling of total exhaustion
EffexorXR.Post62.Sentence7	AE	loss of sleep
EffexorXR.Post63.Sentence1	AE	Gained 50 pounds
EffexorXR.Post63.Sentence2	AE	no sexual desire
EffexorXR.Post64.Sentence1	AE	teeth grinding
EffexorXR.Post64.Sentence1	AE	sweating like mad
EffexorXR.Post64.Sentence1	AE	hot hot hot
EffexorXR.Post64.Sentence1	AE	weight gain
EffexorXR.Post64.Sentence1	AE	headaches
EffexorXR.Post64.Sentence1	AE	general feeling of tiredness
EffexorXR.Post64.Sentence2	AE	nausea feeling
EffexorXR.Post64.Sentence2	AE	no sex drive
EffexorXR.Post64.Sentence3	AE	felt as if i needed to be doing something all of the time
EffexorXR.Post65.Sentence1	AE	weight gain
EffexorXR.Post65.Sentence1	AE	dry mouth
EffexorXR.Post65.Sentence1	AE	decreased libido
EffexorXR.Post66.Sentence2	AE	Felt flat
EffexorXR.Post66.Sentence2	AE	no interest in life
EffexorXR.Post66.Sentence2	SSI	anxious
EffexorXR.Post66.Sentence3	AE	antibiotics for ulcers
EffexorXR.Post66.Sentence3	AE	ear ache
EffexorXR.Post66.Sentence3	AE	stomach cramps
EffexorXR.Post66.Sentence3	AE	period screwed up
EffexorXR.Post67.Sentence1	AE	intense increase in anxiety
EffexorXR.Post67.Sentence1	SSI	agitation
EffexorXR.Post67.Sentence2	AE	episode of hypomania
EffexorXR.Post67.Sentence2	AE	extreme anxiety
EffexorXR.Post67.Sentence2	AE	increased depression
EffexorXR.Post68.Sentence1	AE	increased sleepiness
EffexorXR.Post68.Sentence1	AE	intense weight gain
EffexorXR.Post68.Sentence2	AE	gained 35 lbs
EffexorXR.Post68.Sentence2	SSI	depression
EffexorXR.Post68.Sentence2	SSI	anxiety
EffexorXR.Post68.Sentence3	AE	never felt satisfied after eating
EffexorXR.Post68.Sentence4	SSI	eating disoders
EffexorXR.Post69.Sentence1	AE	BAD sweating
EffexorXR.Post69.Sentence2	AE	weight loss at the very beginning
EffexorXR.Post70.Sentence1	AE	Very tired
EffexorXR.Post70.Sentence1	AE	Diarrhea
EffexorXR.Post71.Sentence3	SSI	depression
EffexorXR.Post72.Sentence1	AE	trouble sleeping
EffexorXR.Post72.Sentence1	SSI	depressed
EffexorXR.Post73.Sentence1	AE	Lethargy
EffexorXR.Post73.Sentence1	AE	low libido
EffexorXR.Post74.Sentence1	AE	stoned feeling
EffexorXR.Post74.Sentence1	AE	tingly sensation
EffexorXR.Post74.Sentence1	AE	confused
EffexorXR.Post74.Sentence1	AE	could not stop crying
EffexorXR.Post74.Sentence1	AE	dizzy
EffexorXR.Post74.Sentence1	AE	disoriented
EffexorXR.Post74.Sentence4	AE	alter your thinking
EffexorXR.Post74.Sentence4	AE	mask the problem
EffexorXR.Post74.Sentence9	AE	feel like a zombie
EffexorXR.Post74.Sentence9	SSI	anxiety
EffexorXR.Post75.Sentence2	AE	57 of hemoglobin concentration out of 135
EffexorXR.Post75.Sentence2	AE	ulcer
EffexorXR.Post75.Sentence2	AE	horrible pain
EffexorXR.Post75.Sentence5	AE	Sleepiness
EffexorXR.Post75.Sentence5	AE	Dizziness
EffexorXR.Post75.Sentence5	AE	Constipation
EffexorXR.Post75.Sentence5	AE	Raised blood pressure
EffexorXR.Post75.Sentence5	AE	Fatigue
EffexorXR.Post76.Sentence1	AE	gained 20 pounds
EffexorXR.Post77.Sentence2	SSI	depressed
EffexorXR.Post77.Sentence2	SSI	anxious,
EffexorXR.Post77.Sentence4	AE	headaches
EffexorXR.Post77.Sentence5	AE	Can't sleep
EffexorXR.Post77.Sentence5	AE	can't stay awake
EffexorXR.Post77.Sentence5	AE	lethargic
EffexorXR.Post77.Sentence5	AE	dizzy
EffexorXR.Post77.Sentence5	AE	blurred vision
EffexorXR.Post77.Sentence5	AE	extreme fatigue
EffexorXR.Post77.Sentence5	AE	extreme increase in appetite
EffexorXR.Post77.Sentence11	SSI	anxiety
EffexorXR.Post77.Sentence11	SSI	depression
EffexorXR.Post77.Sentence16	AE	fat
EffexorXR.Post77.Sentence16	AE	exhausted
EffexorXR.Post77.Sentence16	AE	feel hopeless
EffexorXR.Post78.Sentence1	AE	Drowsy throughout the day
EffexorXR.Post78.Sentence1	AE	sleeping for a long time
EffexorXR.Post78.Sentence1	AE	weird dreams
EffexorXR.Post78.Sentence1	AE	heart palpitations
EffexorXR.Post78.Sentence1	AE	minor muscle spasms
EffexorXR.Post78.Sentence1	AE	lower libido
EffexorXR.Post78.Sentence1	AE	skipped periods often
EffexorXR.Post78.Sentence1	AE	heavy periods
EffexorXR.Post78.Sentence1	AE	migraines
EffexorXR.Post78.Sentence1	AE	feeling slightly more aggressive
EffexorXR.Post78.Sentence1	AE	lowered mental capacity
EffexorXR.Post78.Sentence3	SSI	anxiety
EffexorXR.Post78.Sentence3	SSI	depression
EffexorXR.Post78.Sentence5	AE	felt even less motivation
EffexorXR.Post78.Sentence6	AE	inability to think correctly
EffexorXR.Post78.Sentence6	AE	more rash with decision making
EffexorXR.Post78.Sentence7	AE	Sleeping more
EffexorXR.Post78.Sentence8	AE	up for less hours at a time
EffexorXR.Post78.Sentence9	AE	Weird dreams
EffexorXR.Post79.Sentence1	AE	Low sex
EffexorXR.Post79.Sentence1	AE	cloudy head
EffexorXR.Post79.Sentence1	AE	unable to lose weight
EffexorXR.Post80.Sentence1	AE	Increased fatigue
EffexorXR.Post80.Sentence1	AE	insomnia
EffexorXR.Post80.Sentence1	AE	increased nighttime anxiety
EffexorXR.Post80.Sentence1	AE	brain zaps
EffexorXR.Post80.Sentence1	AE	crying spells
EffexorXR.Post82.Sentence1	AE	sexual
EffexorXR.Post82.Sentence1	SSI	irritable
EffexorXR.Post83.Sentence1	AE	cant sleep
EffexorXR.Post83.Sentence1	AE	sweating
EffexorXR.Post83.Sentence1	AE	feel sick
EffexorXR.Post83.Sentence1	AE	dizzy
EffexorXR.Post83.Sentence1	AE	feeling sick
EffexorXR.Post83.Sentence1	AE	dizzy
EffexorXR.Post85.Sentence1	AE	nausea at first
EffexorXR.Post85.Sentence1	AE	clenching teeth
cymbalta.Post2.Sentence1	AE	extreme nausea
cymbalta.Post2.Sentence1	AE	migraines
cymbalta.Post2.Sentence1	AE	lethargy
cymbalta.Post2.Sentence1	AE	loss of libido
cymbalta.Post2.Sentence1	AE	flu-like symptoms
cymbalta.Post3.Sentence1	AE	Dizzy
cymbalta.Post3.Sentence1	AE	nauseous
cymbalta.Post3.Sentence1	AE	sweating
cymbalta.Post3.Sentence1	AE	anxiety
cymbalta.Post3.Sentence1	AE	uneasiness
cymbalta.Post3.Sentence1	AE	restlessness
cymbalta.Post3.Sentence1	AE	shivers
cymbalta.Post3.Sentence4	AE	feeling off
cymbalta.Post3.Sentence8	AE	feels like LSD
cymbalta.Post3.Sentence8	AE	flu like symptoms
cymbalta.Post4.Sentence1	AE	Severe stomach cramps
cymbalta.Post4.Sentence1	AE	upset stomach
cymbalta.Post4.Sentence1	AE	dizziness
cymbalta.Post4.Sentence1	AE	spacey
cymbalta.Post5.Sentence1	AE	blurred vision
cymbalta.Post5.Sentence1	AE	sweating
cymbalta.Post5.Sentence1	AE	shaking
cymbalta.Post5.Sentence1	AE	nausea
cymbalta.Post5.Sentence1	AE	vomiting
cymbalta.Post5.Sentence1	AE	brief paralysis
cymbalta.Post5.Sentence1	AE	tingling in extremities
cymbalta.Post5.Sentence1	AE	fainting
cymbalta.Post5.Sentence1	AE	heart palpitations
cymbalta.Post5.Sentence1	AE	insomnia
cymbalta.Post5.Sentence1	AE	severe abdominal pain
cymbalta.Post5.Sentence1	AE	visual hallucinations
cymbalta.Post5.Sentence1	AE	dizziness
cymbalta.Post5.Sentence4	AE	sweat
cymbalta.Post5.Sentence4	AE	feel very ill
cymbalta.Post5.Sentence4	AE	throw up all morning and into the early afternoon
cymbalta.Post5.Sentence5	AE	barely move
cymbalta.Post5.Sentence6	AE	entire body seized up
cymbalta.Post5.Sentence6	AE	could not move 
cymbalta.Post5.Sentence7	AE	took me a day and a half to finally sleep
cymbalta.Post5.Sentence8	AE	feel dizzy
